classification	n	maf	population_relative_gap	true_angle_deg	replicates	expected_n0	expected_n1	expected_n2	group_count_pass_rate	gap_pass_rate	joint_estimable_rate	joint_estimable_ci_low	joint_estimable_ci_high	null_reference_95	null_exceedance_rate	null_exceedance_ci_low	null_exceedance_ci_high	estimated_angle_q10_deg	estimated_angle_median_deg	estimated_angle_q90_deg	fitted_gap_q10	fitted_gap_median	fitted_gap_q90
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.05	5.0	12	1805.0	190.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	59.73368188648551	69.31230562806903	81.92207944254518	0.0776712087718117	0.22314123678221925	0.33001290403212896
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.05	10.0	12	1805.0	190.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	59.83939905874675	69.3145753460122	82.25454055834072	0.08308871703748796	0.2245057945251303	0.3300585052832906
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.05	20.0	12	1805.0	190.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	60.52975349732966	69.36159615862255	83.12234004088853	0.08924203032472476	0.21916484354841725	0.3301153685773572
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.05	30.0	12	1805.0	190.0	5.000000000000001	0.0	0.75	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	61.836192411387735	69.1449189020798	83.95332123879301	0.07368769143708412	0.20068947518601904	0.33012502026859747
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.1	0.0	12	1805.0	190.0	5.000000000000001	0.0	0.6666666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	63.038367833078766	76.37476617528026	87.35118329986642	0.07896934958276082	0.19048422563144563	0.32844144692187655
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.1	5.0	12	1805.0	190.0	5.000000000000001	0.0	0.75	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	64.01790482396594	76.74246638825373	87.90955043081009	0.07849803263638595	0.18839510782433921	0.3285834256652389
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.1	10.0	12	1805.0	190.0	5.000000000000001	0.0	0.75	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	65.20920321244627	77.17838179195766	88.31378624155178	0.0779765970413642	0.18702668564750957	0.3285522747501836
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.1	20.0	12	1805.0	190.0	5.000000000000001	0.0	0.6666666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	67.5836775943772	78.27711646687557	88.60376800831699	0.07331063085578697	0.1873747853278558	0.32848509486812166
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.1	30.0	12	1805.0	190.0	5.000000000000001	0.0	0.6666666666666666	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	66.75785953837618	78.69070453778991	88.32897466439543	0.06196599616376927	0.17518513361774435	0.3284129566021496
EXPLORATORY_NON_EVIDENCE	2000	0.05	0.2	0.0	12	1805.0	190.0	5.000000000000001	0.0	0.8333333333333334	0.0	2.7755575615628914e-17	0.24249400665524085	0.0	0.0	2.7755575615628914e-17	0.24249400665524085	65.789623642115	78.30799485624235	84.89780832696893	0.09587360783992546	0.15078657865025696	0.30977326418469936
